date,campaign_name,channel,ad_type,impressions,clicks,conversions,cost,revenue,ctr,conversion_rate,cpc,cpa,roas
2024-01-01,Product_Launch_Q1,Google Ads,Video,215122,9187,449,4763.51,53396.51,4.27,4.89,0.52,10.61,11.21
2024-01-01,Social_Media_Ads,Facebook,Search,358959,21773,761,2951.05,326471.4,6.07,3.5,0.14,3.88,110.63
2024-01-01,Google_Search,Twitter,Video,135979,3626,74,798.36,22497.63,2.67,2.04,0.22,10.79,28.18
2024-01-01,Email_Newsletter,Email,Display,951785,14209,635,4769.52,198722.62,1.49,4.47,0.34,7.51,41.67
2024-01-01,Social_Media_Ads,Facebook,Shopping,105917,2110,24,1336.1,3113.31,1.99,1.17,0.63,55.67,2.33
2024-01-02,Google_Search,Email,Shopping,563030,7505,175,1836.21,52410.2,1.33,2.34,0.24,10.49,28.54
2024-01-02,Summer_Sale_2024,Email,Video,196639,7309,159,3412.22,16635.62,3.72,2.19,0.47,21.46,4.88
2024-01-02,Holiday_Campaign,TikTok,Shopping,173969,3974,85,2452.63,22152.44,2.28,2.14,0.62,28.85,9.03
2024-01-02,Email_Newsletter,Instagram,Search,300639,19286,419,4094.28,120611.59,6.42,2.18,0.21,9.77,29.46
2024-01-02,Google_Search,LinkedIn,Video,138364,6440,95,1584.99,34539.86,4.65,1.49,0.25,16.68,21.79
2024-01-02,Black_Friday_2024,Google Ads,Shopping,48225,1400,64,957.2,7986.33,2.9,4.62,0.68,14.96,8.34
2024-01-02,Product_Launch_Q1,Facebook,Shopping,815125,17492,395,4745.76,149235.99,2.15,2.26,0.27,12.01,31.45
2024-01-03,Black_Friday_2024,Facebook,Shopping,233520,4136,182,1181.34,89567.28,1.77,4.4,0.29,6.49,75.82
2024-01-03,Email_Newsletter,Email,Search,502206,28131,1110,3749.85,303889.28,5.6,3.95,0.13,3.38,81.04
2024-01-03,Summer_Sale_2024,TikTok,Display,196732,3848,49,1175.87,16329.23,1.96,1.3,0.31,24.0,13.89
2024-01-04,Google_Search,Instagram,Display,162922,3661,146,1987.98,40146.96,2.25,4.01,0.54,13.62,20.19
2024-01-04,Product_Launch_Q1,LinkedIn,Native,33860,477,23,664.52,3207.09,1.41,4.93,1.39,28.89,4.83
2024-01-04,Product_Launch_Q1,LinkedIn,Display,7209,109,4,108.66,1092.13,1.52,3.95,1.0,27.17,10.05
2024-01-04,Black_Friday_2024,Twitter,Video,140240,5483,66,1957.94,30888.71,3.91,1.22,0.36,29.67,15.78
2024-01-04,Social_Media_Ads,Instagram,Video,448874,22423,545,2490.31,262282.86,5.0,2.43,0.11,4.57,105.32
2024-01-04,Black_Friday_2024,Facebook,Search,342113,14320,528,2115.33,223592.6,4.19,3.69,0.15,4.01,105.7
2024-01-05,Social_Media_Ads,Email,Display,87013,1646,37,1071.46,12145.47,1.89,2.3,0.65,28.96,11.34
2024-01-05,Summer_Sale_2024,Google Ads,Display,116090,2353,75,2859.54,23533.92,2.03,3.22,1.22,38.13,8.23
2024-01-05,Social_Media_Ads,LinkedIn,Search,67011,2189,36,1523.88,16789.24,3.27,1.68,0.7,42.33,11.02
2024-01-05,Retargeting_Campaign,Email,Native,268790,4411,185,4126.25,16852.59,1.64,4.21,0.94,22.3,4.08
2024-01-05,Summer_Sale_2024,Twitter,Video,196093,5814,164,816.61,34902.09,2.97,2.83,0.14,4.98,42.74
2024-01-05,Google_Search,Google Ads,Video,227749,5996,88,2937.13,25009.14,2.63,1.48,0.49,33.38,8.51
2024-01-06,Email_Newsletter,Twitter,Shopping,448471,9822,473,2192.94,62356.13,2.19,4.82,0.22,4.64,28.43
2024-01-06,Brand_Awareness,Google Ads,Shopping,190971,2181,59,4774.73,29178.37,1.14,2.71,2.19,80.93,6.11
2024-01-06,Social_Media_Ads,Google Ads,Native,132561,3085,94,3184.07,10317.26,2.33,3.07,1.03,33.87,3.24
2024-01-06,Retargeting_Campaign,Email,Shopping,245849,5376,159,4673.31,31844.92,2.19,2.97,0.87,29.39,6.81
2024-01-06,Google_Search,Email,Native,830647,13090,518,4427.28,190180.41,1.58,3.96,0.34,8.55,42.96
2024-01-06,Brand_Awareness,Google Ads,Display,309236,9090,177,3881.16,44512.7,2.94,1.96,0.43,21.93,11.47
2024-01-06,Social_Media_Ads,Google Ads,Search,158566,6737,332,2796.7,80564.29,4.25,4.94,0.42,8.42,28.81
2024-01-07,Email_Newsletter,Email,Search,135464,5369,184,2379.11,12316.35,3.96,3.43,0.44,12.93,5.18
2024-01-07,Social_Media_Ads,Email,Shopping,566776,11833,265,2416.02,131642.59,2.09,2.24,0.2,9.12,54.49
2024-01-07,Holiday_Campaign,Google Ads,Display,107558,1163,15,1296.46,5340.4,1.08,1.36,1.11,86.43,4.12
2024-01-08,Google_Search,TikTok,Search,90982,4081,148,1279.94,65656.11,4.49,3.64,0.31,8.65,51.3
2024-01-08,Google_Search,Instagram,Native,283768,8325,219,4050.36,108787.31,2.93,2.64,0.49,18.49,26.86
2024-01-08,Brand_Awareness,Instagram,Shopping,119032,2850,53,1641.33,3457.59,2.4,1.89,0.58,30.97,2.11
2024-01-08,Brand_Awareness,Twitter,Shopping,36495,831,8,631.08,3943.75,2.28,1.04,0.76,78.89,6.25
2024-01-08,Holiday_Campaign,TikTok,Display,136228,2356,56,1652.3,7688.61,1.73,2.4,0.7,29.51,4.65
2024-01-08,Email_Newsletter,LinkedIn,Video,166436,5817,276,2198.1,34342.2,3.5,4.76,0.38,7.96,15.62
2024-01-09,Brand_Awareness,Instagram,Native,360096,8169,96,3574.58,10935.9,2.27,1.18,0.44,37.24,3.06
2024-01-09,Retargeting_Campaign,LinkedIn,Video,156839,6643,221,2791.7,48973.78,4.24,3.33,0.42,12.63,17.54
2024-01-09,Retargeting_Campaign,LinkedIn,Display,423536,10088,259,4574.89,56931.04,2.38,2.57,0.45,17.66,12.44
2024-01-09,Email_Newsletter,Instagram,Display,348516,8156,243,4267.28,63454.67,2.34,2.98,0.52,17.56,14.87
2024-01-09,Social_Media_Ads,TikTok,Video,76705,2260,78,812.69,22655.17,2.95,3.47,0.36,10.42,27.88
2024-01-09,Product_Launch_Q1,Instagram,Search,191614,11427,427,2231.16,72649.22,5.96,3.74,0.2,5.23,32.56
2024-01-09,Google_Search,LinkedIn,Search,105348,6953,205,2842.42,33782.46,6.6,2.96,0.41,13.87,11.89
2024-01-10,Product_Launch_Q1,LinkedIn,Native,370231,7532,248,3850.36,97354.77,2.03,3.29,0.51,15.53,25.28
2024-01-10,Product_Launch_Q1,Email,Search,28751,1597,37,425.23,5760.65,5.55,2.33,0.27,11.49,13.55
2024-01-10,Email_Newsletter,Email,Video,128055,4193,107,2116.77,46282.85,3.27,2.57,0.5,19.78,21.86
2024-01-10,Black_Friday_2024,Email,Display,128986,2222,100,988.9,45890.67,1.72,4.52,0.45,9.89,46.41
2024-01-10,Product_Launch_Q1,LinkedIn,Search,110875,6543,315,2253.27,153129.45,5.9,4.82,0.34,7.15,67.96
2024-01-10,Holiday_Campaign,Google Ads,Search,166170,6898,216,2960.27,44395.32,4.15,3.14,0.43,13.7,15.0
2024-01-10,Email_Newsletter,Facebook,Shopping,227197,5049,65,2433.48,17380.97,2.22,1.3,0.48,37.44,7.14
2024-01-11,Brand_Awareness,Instagram,Video,372401,13634,182,4935.43,38942.65,3.66,1.34,0.36,27.12,7.89
2024-01-11,Google_Search,Google Ads,Search,76983,5532,88,1368.08,16520.13,7.19,1.6,0.25,15.55,12.08
2024-01-11,Black_Friday_2024,Email,Search,169878,7171,342,1551.09,81753.65,4.22,4.77,0.22,4.54,52.71
2024-01-11,Holiday_Campaign,Google Ads,Native,174708,2502,53,2391.53,5625.52,1.43,2.14,0.96,45.12,2.35
2024-01-11,Holiday_Campaign,TikTok,Display,445108,10584,270,3980.54,33435.39,2.38,2.56,0.38,14.74,8.4
2024-01-11,Google_Search,Facebook,Display,522970,12075,479,2829.24,209316.59,2.31,3.97,0.23,5.91,73.98
2024-01-12,Social_Media_Ads,Twitter,Search,22466,904,9,411.22,870.78,4.03,1.04,0.45,45.69,2.12
2024-01-12,Google_Search,Email,Shopping,217713,5090,182,2286.62,30883.28,2.34,3.58,0.45,12.56,13.51
2024-01-12,Brand_Awareness,LinkedIn,Video,240403,8856,284,4933.02,76283.63,3.68,3.22,0.56,17.37,15.46
2024-01-12,Summer_Sale_2024,Twitter,Search,268709,20550,380,1299.29,147105.57,7.65,1.85,0.06,3.42,113.22
2024-01-12,Social_Media_Ads,Twitter,Native,292108,8288,398,4804.91,35020.41,2.84,4.8,0.58,12.07,7.29
2024-01-12,Black_Friday_2024,Email,Video,762359,36093,714,3784.67,303449.55,4.73,1.98,0.1,5.3,80.18
2024-01-13,Social_Media_Ads,TikTok,Display,223795,5546,133,2191.01,30984.58,2.48,2.41,0.4,16.47,14.14
2024-01-13,Google_Search,Twitter,Search,1117758,78918,3914,3787.58,1850912.92,7.06,4.96,0.05,0.97,488.68
2024-01-13,Social_Media_Ads,LinkedIn,Video,204509,8105,306,3182.95,54070.56,3.96,3.78,0.39,10.4,16.99
2024-01-13,Product_Launch_Q1,Instagram,Video,179199,5159,166,2044.93,75473.03,2.88,3.22,0.4,12.32,36.91
2024-01-13,Brand_Awareness,Facebook,Shopping,124709,3280,82,936.46,35123.95,2.63,2.51,0.29,11.42,37.51
2024-01-13,Retargeting_Campaign,Google Ads,Video,424791,20405,812,4316.65,191411.72,4.8,3.98,0.21,5.32,44.34
