date,product_category,product_name,quantity_sold,unit_price,revenue,cost,profit,customer_id,region,sales_channel
2024-01-01,Sports,Fitness Tracker,3,629.26,1887.78,1093.13,794.65,CUST7265,East,Mobile App
2024-01-01,Home & Garden,Plant Pot,5,192.3,961.51,588.85,372.66,CUST2685,Central,Retail Store
2024-01-01,Sports,Bicycle,2,165.91,331.83,150.99,180.84,CUST5555,South,Retail Store
2024-01-01,Electronics,Headphones,1,578.6,578.6,337.64,240.95,CUST8849,West,Marketplace
2024-01-01,Sports,Running Shoes,4,423.53,1694.13,978.74,715.39,CUST4556,East,Mobile App
2024-01-01,Electronics,Laptop,2,1433.55,2867.1,1977.41,889.69,CUST9433,South,Online
2024-01-01,Clothing,Dress,2,108.95,217.9,115.93,101.97,CUST1775,East,Retail Store
2024-01-01,Electronics,Headphones,2,1061.28,2122.56,1047.51,1075.05,CUST4843,Central,Mobile App
2024-01-01,Clothing,Jeans,4,142.13,568.54,380.04,188.5,CUST8629,West,Online
2024-01-01,Clothing,Dress,5,55.28,276.38,179.26,97.11,CUST5859,West,Marketplace
2024-01-01,Electronics,Laptop,5,1242.86,6214.28,2624.7,3589.58,CUST9006,North,Marketplace
2024-01-02,Sports,Running Shoes,3,572.81,1718.44,1063.2,655.24,CUST6892,South,Mobile App
2024-01-02,Clothing,T-Shirt,4,132.2,528.81,310.41,218.41,CUST4104,Central,Mobile App
2024-01-02,Sports,Running Shoes,3,390.97,1172.9,511.24,661.66,CUST4840,Central,Retail Store
2024-01-02,Home & Garden,Plant Pot,1,221.88,221.88,96.13,125.75,CUST8035,Central,Mobile App
2024-01-02,Home & Garden,Coffee Maker,4,182.08,728.34,443.31,285.03,CUST8574,Central,Mobile App
2024-01-03,Electronics,Headphones,5,300.07,1500.37,730.57,769.8,CUST4157,West,Retail Store
2024-01-03,Clothing,Dress,1,33.71,33.71,18.1,15.61,CUST4627,West,Retail Store
2024-01-03,Clothing,Jacket,2,35.87,71.74,36.37,35.38,CUST8392,North,Online
2024-01-03,Home & Garden,Coffee Maker,4,125.19,500.77,246.1,254.68,CUST9901,East,Online
2024-01-03,Clothing,Dress,1,35.58,35.58,17.84,17.75,CUST2998,East,Retail Store
2024-01-03,Sports,Yoga Mat,4,306.81,1227.25,848.69,378.56,CUST2291,South,Mobile App
2024-01-03,Electronics,Smart Watch,1,1497.06,1497.06,718.64,778.42,CUST5737,West,Retail Store
2024-01-03,Home & Garden,Bedding,1,201.27,201.27,121.61,79.66,CUST6172,West,Retail Store
2024-01-03,Sports,Bicycle,3,311.48,934.45,441.66,492.78,CUST5389,Central,Marketplace
2024-01-03,Clothing,Jacket,1,39.59,39.59,21.87,17.72,CUST3511,Central,Mobile App
2024-01-03,Sports,Bicycle,3,195.69,587.06,360.07,226.99,CUST9338,West,Marketplace
2024-01-03,Home & Garden,Cookware Set,1,216.55,216.55,111.75,104.81,CUST3385,North,Mobile App
2024-01-03,Sports,Yoga Mat,1,187.03,187.03,105.19,81.84,CUST1262,West,Marketplace
2024-01-03,Clothing,T-Shirt,4,88.85,355.42,167.95,187.46,CUST6423,West,Online
2024-01-03,Electronics,Tablet,1,562.53,562.53,343.21,219.33,CUST3255,East,Marketplace
2024-01-04,Clothing,T-Shirt,4,30.94,123.75,55.5,68.25,CUST5199,West,Retail Store
2024-01-04,Home & Garden,Coffee Maker,3,292.89,878.67,426.31,452.36,CUST5973,South,Retail Store
2024-01-04,Clothing,Jacket,5,49.16,245.78,150.82,94.95,CUST7944,Central,Marketplace
2024-01-04,Sports,Running Shoes,1,263.75,263.75,148.43,115.32,CUST9050,Central,Mobile App
2024-01-04,Clothing,Jacket,3,123.33,369.98,203.78,166.2,CUST8022,North,Online
2024-01-04,Sports,Fitness Tracker,3,468.3,1404.91,885.89,519.02,CUST8679,North,Marketplace
2024-01-04,Sports,Fitness Tracker,5,709.71,3548.54,2215.41,1333.13,CUST2060,Central,Online
2024-01-04,Clothing,Dress,3,147.44,442.33,186.93,255.4,CUST1980,North,Marketplace
2024-01-04,Home & Garden,Lamp,1,136.57,136.57,89.21,47.35,CUST6442,South,Marketplace
2024-01-04,Home & Garden,Lamp,3,109.73,329.19,163.53,165.66,CUST9096,North,Mobile App
2024-01-04,Clothing,Dress,2,125.22,250.43,161.04,89.4,CUST9716,West,Retail Store
2024-01-04,Home & Garden,Coffee Maker,4,245.54,982.16,584.37,397.78,CUST7655,West,Mobile App
2024-01-05,Home & Garden,Cookware Set,2,55.38,110.75,63.51,47.24,CUST1853,East,Online
2024-01-05,Clothing,Dress,2,131.85,263.71,125.28,138.43,CUST5777,East,Marketplace
2024-01-05,Electronics,Laptop,5,553.01,2765.03,1906.7,858.33,CUST6222,West,Retail Store
