date,machine_id,production_line,shift,units_produced,defect_count,good_units,downtime_hours,maintenance_cost,oee_score,availability,performance,quality
2024-01-01,Machine_01,Line_B,Morning,108,2,106,0.47,82.22,103.94,98.06,108.0,98.15
2024-01-01,Machine_02,Line_C,Evening,114,2,112,0.02,4.84,111.21,99.91,114.0,97.65
2024-01-01,Machine_03,Line_A,Morning,83,3,80,0.53,115.64,78.11,97.78,83.0,96.24
2024-01-01,Machine_04,Line_A,Night,107,2,105,1.26,317.56,99.31,94.75,107.0,97.96
2024-01-01,Machine_05,Line_B,Morning,105,2,103,0.18,30.12,102.01,99.24,105.0,97.9
2024-01-01,Machine_06,Line_D,Morning,119,4,115,0.3,48.76,112.61,98.77,119.0,95.81
2024-01-01,Machine_07,Line_C,Night,115,2,113,0.84,217.64,108.79,96.51,115.0,98.02
2024-01-01,Machine_08,Line_C,Evening,85,3,82,1.03,234.78,77.79,95.72,85.0,95.61
2024-01-01,Machine_09,Line_A,Morning,85,3,82,0.46,106.72,80.08,98.07,85.0,96.06
2024-01-01,Machine_10,Line_D,Evening,119,1,118,0.17,51.0,116.55,99.28,119.0,98.64
2024-01-02,Machine_01,Line_B,Night,84,2,82,3.14,377.42,70.52,86.91,84.0,96.59
2024-01-02,Machine_02,Line_C,Evening,92,3,89,0.41,59.51,86.79,98.3,92.0,95.97
2024-01-02,Machine_03,Line_A,Morning,80,1,79,0.05,8.64,78.04,99.8,80.0,97.74
2024-01-02,Machine_04,Line_D,Evening,103,3,100,1.07,204.11,95.31,95.52,103.0,96.87
2024-01-02,Machine_05,Line_C,Evening,100,2,98,0.03,3.45,97.77,99.89,100.0,97.88
2024-01-02,Machine_06,Line_D,Evening,106,2,104,0.65,165.44,101.03,97.29,106.0,97.96
2024-01-02,Machine_07,Line_C,Evening,90,1,89,0.04,13.28,88.59,99.81,90.0,98.62
2024-01-02,Machine_08,Line_B,Night,100,2,98,0.01,1.53,97.05,99.96,100.0,97.09
2024-01-02,Machine_09,Line_A,Evening,93,1,92,0.31,76.59,90.41,98.7,93.0,98.49
2024-01-02,Machine_10,Line_C,Morning,81,1,80,0.33,85.58,78.79,98.64,81.0,98.61
2024-01-03,Machine_01,Line_A,Night,95,2,93,0.78,188.1,89.28,96.75,95.0,97.14
2024-01-03,Machine_02,Line_C,Evening,91,2,89,0.28,57.49,87.46,98.85,91.0,97.22
2024-01-03,Machine_03,Line_D,Night,86,3,83,0.02,1.93,81.98,99.94,86.0,95.39
2024-01-03,Machine_04,Line_A,Morning,103,3,100,0.35,97.49,97.89,98.55,103.0,96.43
2024-01-03,Machine_05,Line_D,Morning,102,3,99,0.21,51.89,97.88,99.14,102.0,96.8
2024-01-03,Machine_06,Line_C,Evening,118,1,117,1.07,250.71,111.19,95.54,118.0,98.63
2024-01-03,Machine_07,Line_C,Evening,117,1,116,0.58,94.87,112.89,97.56,117.0,98.89
2024-01-03,Machine_08,Line_D,Evening,85,1,84,0.84,134.61,80.85,96.48,85.0,98.59
